yearmonth,pr,eto,tasmin,tasmax,tas
1991 Oct,108.136746420663,124.18761207084,23.1369277908957,32.840817180793,27.9888724858444
1991 Nov,41.1133663950587,124.262626480069,23.6343329901761,33.4479547410322,28.5411438656041
1991 Dec,90.2522140508573,98.2977127577426,23.7240581745454,32.3153667555531,28.0197124650492
1992 Jan,123.291108413561,105.510242096771,23.5328615555943,32.1589473692327,27.8459044624135
1992 Feb,216.686441370721,93.5572264321457,23.1946176728578,31.2438663909981,27.2192420319279
1992 Mar,270.704813635561,98.2943255887229,22.8007107709377,30.3675740655767,26.5841424182572
1992 Apr,201.291103378555,97.5699665969645,23.2100581125865,31.3093961079915,27.259727110289
1992 May,140.34742179848,121.370025841442,23.2567588142094,32.1086663367935,27.6827125755014
1992 Jun,80.631273884745,116.398155518537,22.7039368495904,32.0250065519495,27.3644717007699
1992 Jul,111.458511140925,109.987437547311,22.0826919258585,31.668695481503,26.8756937036807
1992 Aug,144.006536325759,109.622369563086,21.995027610923,31.4580733049323,26.7265504579276
1992 Sep,91.5269772343382,121.544949593629,23.1654774852053,33.1591782932921,28.1623278892487
1992 Oct,107.436841315772,103.140111257339,23.2578109814753,32.9657801242019,28.1117955528386
1992 Nov,119.596399067422,99.7276896033767,23.3218545740643,32.4846319458188,27.9032432599416
1992 Dec,230.286192877053,91.3208877356095,22.6813598755867,30.8396332022297,26.7604965389082
1993 Jan,312.821758315408,98.120220875599,22.4763228071853,30.6379676475896,26.5571452273875
1993 Feb,319.331623562694,81.5383225474837,22.0731886652497,30.3235501594092,26.1983694123295
1993 Mar,348.799037594767,90.6651957147926,22.1010083364016,30.183246397385,26.1421273668933
1993 Apr,311.957268528684,88.1043853668066,22.2156089500563,30.3195161819458,26.267562566001
1993 May,189.773262339936,106.551896858497,22.6499820304386,31.4052018473043,27.0275919388714
1993 Jun,168.069786071777,105.828769546994,22.8335679959028,31.7966264529106,27.3150972244067
1993 Jul,107.397708486523,112.953123173065,22.5926209409903,31.5322015827497,27.06241126187
1993 Aug,116.290446648231,119.392130449679,22.4419755850113,31.9020163399,27.1719959624557
1993 Sep,125.819560742237,126.734537114758,23.1734517238549,33.1890439050437,28.1812478144493
1993 Oct,155.082826292726,108.936493189377,22.7806113797031,32.429219523512,27.6049154516076
1993 Nov,165.858949740257,95.1460526864204,22.7326881160397,31.5168920671211,27.1247900915804
1993 Dec,187.381107883341,101.883144451316,22.9279930011351,31.3687572988942,27.1483751500147
1994 Jan,317.845919755789,89.7552617992875,22.6095528865639,30.3860693260057,26.4978111062848
1994 Feb,292.617567886262,75.5793739902903,22.4105980801361,30.179131704977,26.2948648925565
1994 Mar,332.533401940701,89.3949439116484,22.495033679561,30.8254526735012,26.6602431765311
1994 Apr,309.714699017226,95.373565252716,22.5939508584829,31.1056382967405,26.8497945776117
1994 May,245.859293068654,96.8370123558496,22.7230579800723,30.8414559973221,26.7822569886972
1994 Jun,185.542936607225,92.3524421820274,22.4174789218037,30.5003254768176,26.4589021993107
1994 Jul,113.804522172939,114.897872318883,22.3836959639358,31.3863115148659,26.8850037394009
1994 Aug,127.775332338006,119.004522467506,22.8270144013872,32.2740821503437,27.5505482758655
1994 Sep,116.39675572638,121.536803694166,23.430562080293,32.8985014138607,28.1645317470769
1994 Oct,100.834384492163,120.286206481019,23.4411782266348,33.0119790184427,28.2265786225388
1994 Nov,128.840081069596,109.044193988721,23.468605360524,32.9645109673224,28.2165581639232
1994 Dec,180.823768356143,108.512798887738,23.2140608844149,31.6056492101557,27.4098550472853
1995 Jan,155.034091036701,109.450785848516,22.971583744842,31.1971393304145,27.0843615376283
1995 Feb,153.368405240527,95.8206075803768,23.1881426575823,31.4328685028515,27.3105055802169
1995 Mar,295.266319661451,105.205133013471,22.9947996789387,31.3875133498385,27.1911565143886
1995 Apr,321.264713441126,91.8538681614328,23.1256459922715,30.8924098321437,27.0090279122076
1995 May,301.792938616149,91.52907615371,23.227318093303,30.9407800687909,27.0840490810469
1995 Jun,153.993984101087,96.0277202552592,23.1499090435472,31.2399593262983,27.1949341849227
1995 Jul,111.801173304665,118.361547388269,23.2003034128217,32.5202367236128,27.8602700682172
1995 Aug,69.7646431302178,130.929735670428,23.791347692613,33.5457563820766,28.6685520373448
1995 Sep,82.7496116937265,122.415565593708,23.9114855286638,33.7675503356452,28.8395179321545
1995 Oct,101.667521612179,115.961339840522,23.8987838765505,33.6678339722821,28.7833089244163
1995 Nov,255.212887758334,97.5416679481077,23.3308558740559,31.6967629107263,27.5138093923911
1995 Dec,222.94259432787,102.666317448814,23.2617902695666,31.5418362054099,27.4018132374882
1996 Jan,354.523960556504,95.4046871746786,22.678659136911,30.4124970393318,26.5455780881214
